"Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)","Mapping: RIM Mapping"
"EHDSLaboratoryObservation.component.result.value[x]","EHDSLaboratoryObservation.component.result.value[x]","","","",0,1,"","","","string {[]} {[]}
Quantity {[]} {[]}Range {[]} {[]}Ratio {[]} {[]}CodeableConcept {[]} {[]}","Observation result value according to the type of observation.","Observation result value according to the type of observation.","","","","","","","","","",,"required","UCUM for units, SNOMED CT for coded results","","",,,,"EHDSObservation.component.result.value[x]",0,1,"",""
"EHDSLaboratoryObservation.component.result.certainty","EHDSLaboratoryObservation.component.result.certainty","","","",0,1,"","","","Base {[]} {[]}
","Measurement certainty information type and interval if needed about the observation result.","Measurement certainty information type and interval if needed about the observation result.","","","","","","","","","",,,,,"",,,,"EHDSObservation.component.result.certainty",0,1,"",""
"EHDSLaboratoryObservation.component.result.certainty.value","EHDSLaboratoryObservation.component.result.certainty.value","","","",1,1,"","","","decimal {[]} {[]}
","The numerical value of the measurement certainty.","The numerical value of the measurement certainty.","","","","","","","","","",,,,,"",,,,"EHDSObservation.component.result.certainty.value",1,1,"",""
"EHDSLaboratoryObservation.component.result.certainty.type","EHDSLaboratoryObservation.component.result.certainty.type","","","",0,1,"","","","CodeableConcept {[]} {[]}
","Probability distribution type for certainty.","Probability distribution type for certainty.","","","","","","","","","",,"required","HL7 Probability Distribution Type","","",,,,"EHDSObservation.component.result.certainty.type",0,1,"",""
"EHDSLaboratoryObservation.component.result.dataAbsentReason","EHDSLaboratoryObservation.component.result.dataAbsentReason","","","",0,1,"","","","CodeableConcept {[]} {[]}
","Provides a reason why the expected value in the element component.result.value[x] is missing.","Provides a reason why the expected value in the element component.result.value[x] is missing.","","","","","","","","","",,"required","HL7 Data Absent Reason","","",,,,"EHDSObservation.component.result.dataAbsentReason",0,1,"",""
"EHDSLaboratoryObservation.component.referenceRange","EHDSLaboratoryObservation.component.referenceRange","","","",0,*,"","","","Base {[]} {[]}
","Reference range, multiple reference ranges of different types could be provided. Provides guide for interpretation of the result.","Reference range, multiple reference ranges of different types could be provided. Provides guide for interpretation of the result.","","","","","","","","","",,,,,"",,,,"EHDSObservation.component.referenceRange",0,*,"",""
"EHDSLaboratoryObservation.component.referenceRange.low","EHDSLaboratoryObservation.component.referenceRange.low","","","",0,1,"","","","Quantity {[]} {[]}
","Low limit of the reference range.","Low limit of the reference range.","","","","","","","","","",,"required","UCUM","","",,,,"EHDSObservation.component.referenceRange.low",0,1,"",""
"EHDSLaboratoryObservation.component.referenceRange.high","EHDSLaboratoryObservation.component.referenceRange.high","","","",0,1,"","","","Quantity {[]} {[]}
","High limit of the reference range.","High limit of the reference range.","","","","","","","","","",,"required","UCUM","","",,,,"EHDSObservation.component.referenceRange.high",0,1,"",""
"EHDSLaboratoryObservation.component.referenceRange.normalValue","EHDSLaboratoryObservation.component.referenceRange.normalValue","","","",0,1,"","","","CodeableConcept {[]} {[]}
","Normal value, if relevant for the reference range.","Normal value, if relevant for the reference range.","","","","","","","","","",,"required","SNOMED CT","","",,,,"EHDSObservation.component.referenceRange.normalValue",0,1,"",""
"EHDSLaboratoryObservation.component.referenceRange.type","EHDSLaboratoryObservation.component.referenceRange.type","","","",0,1,"","","","CodeableConcept {[]} {[]}
","Type of reference range.","Type of reference range.","","","","","","","","","",,"required","HL7 Observation Reference Range Meaning Codes","","",,,,"EHDSObservation.component.referenceRange.type",0,1,"",""
"EHDSLaboratoryObservation.component.referenceRange.appliesTo","EHDSLaboratoryObservation.component.referenceRange.appliesTo","","","",0,*,"","","","CodeableConcept {[]} {[]}
","Codes to indicate the target population this reference range applies to.","Codes to indicate the target population this reference range applies to.","","","","","","","","","",,"required","SNOMED CT","","",,,,"EHDSObservation.component.referenceRange.appliesTo",0,*,"",""
"EHDSLaboratoryObservation.component.referenceRange.age","EHDSLaboratoryObservation.component.referenceRange.age","","","",0,1,"","","","Range {[]} {[]}
","Age range to which this reference range applies if applicable.","Age range to which this reference range applies if applicable.","","","","","","","","","",,"required","UCUM","","",,,,"EHDSObservation.component.referenceRange.age",0,1,"",""
"EHDSLaboratoryObservation.component.referenceRange.text","EHDSLaboratoryObservation.component.referenceRange.text","","","",0,1,"","","","string {[]} {[]}
","Text based reference range.","Text based reference range.","","","","","","","","","",,,,,"",,,,"EHDSObservation.component.referenceRange.text",0,1,"",""
"EHDSLaboratoryObservation.component.interpretation","EHDSLaboratoryObservation.component.interpretation","","","",0,*,"","","","CodeableConcept {[]} {[]}
","Result interpretation, e.g. in comparison with reference ranges.","Result interpretation, e.g. in comparison with reference ranges.","","","","","","","","","",,"required","SNOMED CT, HL7 ObservationInterpretation","","",,,,"EHDSObservation.component.interpretation",0,*,"",""
"EHDSLaboratoryObservation.derivedFrom[x]","EHDSLaboratoryObservation.derivedFrom[x]","","","",0,*,"","","","http://ehds.eu/fhir/models/StructureDefinition/EHDSObservation {[]} {[]}
http://ehds.eu/fhir/models/StructureDefinition/EHDSLaboratoryObservation {[]} {[]}http://ehds.eu/fhir/models/StructureDefinition/EHDSImagingStudy {[]} {[]}","Reference to the related resource from which the observation has been made. For example, a calculated anion gap or a fetal measurement based on an ultrasound image.","Reference to the related resource from which the observation has been made. For example, a calculated anion gap or a fetal measurement based on an ultrasound image.","","","","","","","","","",,,,,"",,,,"EHDSObservation.derivedFrom[x]",0,*,"",""
"EHDSLaboratoryObservation.hasMember[x]","EHDSLaboratoryObservation.hasMember[x]","","","",0,*,"","","","http://ehds.eu/fhir/models/StructureDefinition/EHDSLaboratoryObservation {[]} {[]}
http://ehds.eu/fhir/models/StructureDefinition/EHDSObservation {[]} {[]}","Member of the observation group that this observation forms (e.g. in case of a battery, a panel of tests, a set of vital sign measurements).","Member of the observation group that this observation forms (e.g. in case of a battery, a panel of tests, a set of vital sign measurements).","","","","","","","","","",,,,,"",,,,"EHDSObservation.hasMember[x]",0,*,"",""
"EHDSLaboratoryObservation.triggeredBy[x]","EHDSLaboratoryObservation.triggeredBy[x]","","","",0,*,"","","","http://ehds.eu/fhir/models/StructureDefinition/EHDSLaboratoryObservation {[]} {[]}
http://ehds.eu/fhir/models/StructureDefinition/EHDSObservation {[]} {[]}","References to the observation(s) that triggered the performance of this observation.","References to the observation(s) that triggered the performance of this observation.","","","","","","","","","",,,,,"",,,,"EHDSLaboratoryObservation.triggeredBy[x]",0,*,"",""
"EHDSLaboratoryObservation.testKit","EHDSLaboratoryObservation.testKit","","","",0,1,"","","","http://ehds.eu/fhir/models/StructureDefinition/EHDSDevice {[]} {[]}
","Laboratory test kit used during measurement.","Laboratory test kit used during measurement.","","","","","","","","","",,,,,"",,,,"EHDSLaboratoryObservation.testKit",0,1,"",""
"EHDSLaboratoryObservation.calibrator","EHDSLaboratoryObservation.calibrator","","","",0,1,"","","","Identifier {[]} {[]}
","Information about which reference material or calibrator of higher order the laboratory has been used for the measurement to indicate the metrological traceability chain.","Information about which reference material or calibrator of higher order the laboratory has been used for the measurement to indicate the metrological traceability chain.","","","","","","","","","",,,,,"",,,,"EHDSLaboratoryObservation.calibrator",0,1,"",""
"EHDSLaboratoryObservation.accreditationStatus","EHDSLaboratoryObservation.accreditationStatus","","","",0,1,"","","","boolean {[]} {[]}
","Accreditation status of the laboratory for the observation.","Accreditation status of the laboratory for the observation.","","","","","","","","","",,,,,"",,,,"EHDSLaboratoryObservation.accreditationStatus",0,1,"",""
"EHDSLaboratoryObservation.previousResults","EHDSLaboratoryObservation.previousResults","","","",0,*,"","","","http://ehds.eu/fhir/models/StructureDefinition/EHDSLaboratoryObservation {[]} {[]}
","Previous results of the same observation.","Previous results of the same observation.","","","","","","","","","",,,,,"",,,,"EHDSLaboratoryObservation.previousResults",0,*,"",""
"EHDSLaboratoryObservation.pointOfCareTest","EHDSLaboratoryObservation.pointOfCareTest","","","",0,1,"","","","boolean {[]} {[]}
","Examination performed near or at the site of a patient.","Examination performed near or at the site of a patient.","","","","","","","","","",,,,,"",,,,"EHDSLaboratoryObservation.pointOfCareTest",0,1,"",""
