"Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)","Mapping: RIM Mapping"
"EHDSHealthProfessional","EHDSHealthProfessional","","","",0,*,"","","","null {[]} {[]}
","Health professional model","EHDSHealthProfessional means a structured set of data elements describing a health professional.","","","","","","","","","",,,,,"",,,,"Base",0,*,"","","n/a"
"EHDSHealthProfessional.identifier","EHDSHealthProfessional.identifier","","","",0,*,"","","","Identifier {[]} {[]}
","An identifier of the health professional that is unique within a defined scope. Example: National health professional ID. Multiple identifiers could be provided.","An identifier of the health professional that is unique within a defined scope. Example: National health professional ID. Multiple identifiers could be provided.","","","","","","","","","",,,,,"",,,,"EHDSHealthProfessional.identifier",0,*,"",""
"EHDSHealthProfessional.name","EHDSHealthProfessional.name","","","",0,1,"","","","http://ehds.eu/fhir/models/StructureDefinition/EHDSHumanName {[]} {[]}
","Name of the health professional.","Name of the health professional.","","","","","","","","","",,,,,"",,,,"EHDSHealthProfessional.name",0,1,"",""
"EHDSHealthProfessional.address","EHDSHealthProfessional.address","","","",0,*,"","","","http://ehds.eu/fhir/models/StructureDefinition/EHDSAddress {[]} {[]}
","Address of the health professional.","Address of the health professional.","","","","","","","","","",,,,,"",,,,"EHDSHealthProfessional.address",0,*,"",""
"EHDSHealthProfessional.telecom","EHDSHealthProfessional.telecom","","","",0,*,"","","","http://ehds.eu/fhir/models/StructureDefinition/EHDSTelecom {[]} {[]}
","Telecommunication contact information (address) associated with the health professional, such as phone number, email, or messaging service.","Telecommunication contact information (address) associated with the health professional, such as phone number, email, or messaging service.","","","","","","","","","",,,,,"",,,,"EHDSHealthProfessional.telecom",0,*,"",""
"EHDSHealthProfessional.professionalRole","EHDSHealthProfessional.professionalRole","","","",0,*,"","","","Base {[]} {[]}
","Professional role that the health professional is practicing at a given organisation.","Professional role that the health professional is practicing at a given organisation.","","","","","","","","","",,,,,"",,,,"EHDSHealthProfessional.professionalRole",0,*,"",""
"EHDSHealthProfessional.professionalRole.role","EHDSHealthProfessional.professionalRole.role","","","",0,*,"","","","CodeableConcept {[]} {[]}
","Health professional role.","Health professional role.","","","","","","","","","",,"required","SNOMED CT (preferred), ISCO-08","","",,,,"EHDSHealthProfessional.professionalRole.role",0,*,"",""
"EHDSHealthProfessional.professionalRole.organisation","EHDSHealthProfessional.professionalRole.organisation","","","",0,1,"","","","http://ehds.eu/fhir/models/StructureDefinition/EHDSOrganisation {[]} {[]}
","The organisation where this role is available.","The organisation where this role is available.","","","","","","","","","",,,,,"",,,,"EHDSHealthProfessional.professionalRole.organisation",0,1,"",""
"EHDSHealthProfessional.professionalRole.specialty","EHDSHealthProfessional.professionalRole.specialty","","","",0,*,"","","","CodeableConcept {[]} {[]}
","The specialty of the health professional they are practicing in the given organisation.","The specialty of the health professional they are practicing in the given organisation.","","","","","","","","","",,"required","SNOMED CT","","",,,,"EHDSHealthProfessional.professionalRole.specialty",0,*,"",""
