"Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)","Mapping: RIM Mapping"
"EHDSLocation","EHDSLocation","","","",0,*,"","","","null {[]} {[]}
","Location model","EHDSLocation means a structured set of data elements describing a place where health services are provided or resources and participants are accommodated.","","","","","","","","","",,,,,"",,,,"Base",0,*,"","","n/a"
"EHDSLocation.identifier","EHDSLocation.identifier","","","",0,*,"","","","Identifier {[]} {[]}
","Location identifier.","Location identifier.","","","","","","","","","",,,,,"",,,,"EHDSLocation.identifier",0,*,"",""
"EHDSLocation.name","EHDSLocation.name","","","",0,1,"","","","string {[]} {[]}
","Human-readable name of the location.","Human-readable name of the location.","","","","","","","","","",,,,,"",,,,"EHDSLocation.name",0,1,"",""
"EHDSLocation.description","EHDSLocation.description","","","",0,1,"","","","string {[]} {[]}
","Additional details about the location that could be displayed as further information to identify the location beyond its name.","Additional details about the location that could be displayed as further information to identify the location beyond its name.","","","","","","","","","",,,,,"",,,,"EHDSLocation.description",0,1,"",""
"EHDSLocation.address","EHDSLocation.address","","","",0,1,"","","","http://ehds.eu/fhir/models/StructureDefinition/EHDSAddress {[]} {[]}
","Physical location address.","Physical location address.","","","","","","","","","",,,,,"",,,,"EHDSLocation.address",0,1,"",""
"EHDSLocation.managingOrganisation","EHDSLocation.managingOrganisation","","","",0,1,"","","","http://ehds.eu/fhir/models/StructureDefinition/EHDSOrganisation {[]} {[]}
","The organisation responsible for the provisioning and upkeep of the location.","The organisation responsible for the provisioning and upkeep of the location.","","","","","","","","","",,,,,"",,,,"EHDSLocation.managingOrganisation",0,1,"",""
