"Profile","Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)"
"EHDSAdministeredDosage","EHDSAdministeredDosage.dosageDetails.doseAndRate.dose[x]","EHDSAdministeredDosage.dosageDetails.doseAndRate.dose[x]","","","",0,1,"","","","Quantity {[]} {[]}
Range {[]} {[]}","Amount of medication per one dose (1 tablet, 2-3 tablets, 20ml).","Amount of medication per one dose (1 tablet, 2-3 tablets, 20ml).","","","","","","","","","",,"required","UCUM (units of measurement), EDQM Standard Terms (units of presentation)","","",,,,"EHDSDosage.dosageDetails.doseAndRate.dose[x]",0,1,"",""
"EHDSAdministeredDosage","EHDSAdministeredDosage.dosageDetails.doseAndRate.rate[x]","EHDSAdministeredDosage.dosageDetails.doseAndRate.rate[x]","","","",0,1,"","","","Quantity {[]} {[]}
Ratio {[]} {[]}","Amount of medication per time period (e.g. 100mg per 1 hour). When rate is provided per 1 time unit, Quantity data type can be used with a suitable unit (e.g. mg/h, ug/min).","Amount of medication per time period (e.g. 100mg per 1 hour). When rate is provided per 1 time unit, Quantity data type can be used with a suitable unit (e.g. mg/h, ug/min).","","","","","","","","","",,"required","UCUM (units of measurement), EDQM Standard Terms (units of presentation)","","",,,,"EHDSDosage.dosageDetails.doseAndRate.rate[x]",0,1,"",""
"EHDSAdministeredDosage","EHDSAdministeredDosage.dosageDetails.repeat","EHDSAdministeredDosage.dosageDetails.repeat","","","",0,0,"","","","Base {[]} {[]}
","Repetition of the administration.","Repetition of the administration.","","","","","","","","","",,,,,"",,,,"EHDSDosage.dosageDetails.repeat",0,1,"",""
"EHDSAdministeredDosage","EHDSAdministeredDosage.dosageDetails.repeat.bounds[x]","EHDSAdministeredDosage.dosageDetails.repeat.bounds[x]","","","",0,1,"","","","Quantity {[]} {[]}
Period {[]} {[]}","Time bounds for the treatment (current dosage scheme), Quantity contains a number of time units (e.g 10 days), Period contains start and end date (e.g. 05.08.2023 - 10.08.2023).","Time bounds for the treatment (current dosage scheme), Quantity contains a number of time units (e.g 10 days), Period contains start and end date (e.g. 05.08.2023 - 10.08.2023).","","","","","","","","","",,"required","UCUM","","",,,,"EHDSDosage.dosageDetails.repeat.bounds[x]",0,1,"",""
"EHDSAdministeredDosage","EHDSAdministeredDosage.dosageDetails.repeat.duration","EHDSAdministeredDosage.dosageDetails.repeat.duration","","","",0,1,"","","","Quantity {[]} {[]}
","Duration of administration (e.g. '5 minutes', '1 hour').","Duration of administration (e.g. '5 minutes', '1 hour').","","","","","","","","","",,"required","UCUM","","",,,,"EHDSDosage.dosageDetails.repeat.duration",0,1,"",""
"EHDSAdministeredDosage","EHDSAdministeredDosage.dosageDetails.repeat.frequency","EHDSAdministeredDosage.dosageDetails.repeat.frequency","","","",0,1,"","","","Base {[]} {[]}
","Frequency of intake/administration.","Frequency of intake/administration.","","","","","","","","","",,,,,"",,,,"EHDSDosage.dosageDetails.repeat.frequency",0,1,"",""
"EHDSAdministeredDosage","EHDSAdministeredDosage.dosageDetails.repeat.frequency.numberOfTimes","EHDSAdministeredDosage.dosageDetails.repeat.frequency.numberOfTimes","","","",1,1,"","","","integer {[]} {[]}
","Number of times per period (e.g. '3 times').","Number of times per period (e.g. '3 times').","","","","","","","","","",,,,,"",,,,"EHDSDosage.dosageDetails.repeat.frequency.numberOfTimes",1,1,"",""
"EHDSAdministeredDosage","EHDSAdministeredDosage.dosageDetails.repeat.frequency.period","EHDSAdministeredDosage.dosageDetails.repeat.frequency.period","","","",1,1,"","","","Quantity {[]} {[]}
","Duration to which the frequency applies (e.g. '... / 1 day').","Duration to which the frequency applies (e.g. '... / 1 day').","","","","","","","","","",,"required","UCUM","","",,,,"EHDSDosage.dosageDetails.repeat.frequency.period",1,1,"",""
"EHDSAdministeredDosage","EHDSAdministeredDosage.dosageDetails.repeat.dayOfWeek","EHDSAdministeredDosage.dosageDetails.repeat.dayOfWeek","","","",0,*,"","","","CodeableConcept {[]} {[]}
","The day of the week of administration, e.g Mon, Tue, etc.","The day of the week of administration, e.g Mon, Tue, etc.","","","","","","","","","",,,,,"",,,,"EHDSDosage.dosageDetails.repeat.dayOfWeek",0,*,"",""
"EHDSAdministeredDosage","EHDSAdministeredDosage.dosageDetails.repeat.timeOfDay","EHDSAdministeredDosage.dosageDetails.repeat.timeOfDay","","","",0,*,"","","","time {[]} {[]}
","Exact time of day of administration (e.g. '10:00').","Exact time of day of administration (e.g. '10:00').","","","","","","","","","",,,,,"",,,,"EHDSDosage.dosageDetails.repeat.timeOfDay",0,*,"",""
