"Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)","Mapping: RIM Mapping"
"EHDSMedication.item.ingredient.substance","EHDSMedication.item.ingredient.substance","","","",1,1,"","","","CodeableConcept {[]} {[]}
","Substance.","Substance.","","","","","","","","","",,"required","EMA SPOR SMS","","",,,,"EHDSMedication.item.ingredient.substance",1,1,"",""
"EHDSMedication.item.ingredient.strengthInfo","EHDSMedication.item.ingredient.strengthInfo","","","",0,1,"","","","Base {[]} {[]}
","Strength of the product - amount of substance per unit.","Strength of the product - amount of substance per unit.","","","","","","","","","",,,,,"",,,,"EHDSMedication.item.ingredient.strengthInfo",0,1,"",""
"EHDSMedication.item.ingredient.strengthInfo.strength[x]","EHDSMedication.item.ingredient.strengthInfo.strength[x]","","","",1,1,"","","","Ratio {[]} {[]}
string {[]} {[]}","Concentration or presentation strength, e.g '100 mg/1 ml' or '500 mg per 1 tablet'.","Concentration or presentation strength, e.g '100 mg/1 ml' or '500 mg per 1 tablet'.","","","","","","","","","",,,,,"",,,,"EHDSMedication.item.ingredient.strengthInfo.strength[x]",1,1,"",""
"EHDSMedication.item.ingredient.strengthInfo.basisOfStrengthSubstance","EHDSMedication.item.ingredient.strengthInfo.basisOfStrengthSubstance","","","",0,1,"","","","CodeableConcept {[]} {[]}
","Substance that the strength refers to, especially when different from .item.strength.substance.","Substance that the strength refers to, especially when different from .item.strength.substance.","","","","","","","","","",,"required","EMA SPOR SMS","","",,,,"EHDSMedication.item.ingredient.strengthInfo.basisOfStrengthSubstance",0,1,"",""
"EHDSMedication.item.unitOfPresentation","EHDSMedication.item.unitOfPresentation","","","",0,1,"","","","CodeableConcept {[]} {[]}
","Unit of presentation for the manufactured item (tablet, vial, tube). Typically, the smallest countable object in the package.","Unit of presentation for the manufactured item (tablet, vial, tube). Typically, the smallest countable object in the package.","","","","","","","","","",,"required","EDQM Standard Terms","","",,,,"EHDSMedication.item.unitOfPresentation",0,1,"",""
"EHDSMedication.item.containedQuantity","EHDSMedication.item.containedQuantity","","","",0,1,"","","","Ratio {[]} {[]}
","Manufactured item quantity per one item (3 ml / 1 vial).","Manufactured item quantity per one item (3 ml / 1 vial).","","","","","","","","","",,"required","UCUM for units of measure. EDQM Standard Terms for units of presentation.","","",,,,"EHDSMedication.item.containedQuantity",0,1,"",""
"EHDSMedication.item.amount","EHDSMedication.item.amount","","","",0,1,"","","","Quantity {[]} {[]}
","Number of such items in this product (5 vials). The combined amount of all items will be considered to be the total package size.","Number of such items in this product (5 vials). The combined amount of all items will be considered to be the total package size.","","","","","","","","","",,"required","UCUM for units of measure. EDQM Standard Terms for units of presentation.","","",,,,"EHDSMedication.item.amount",0,1,"",""
"EHDSMedication.item.packageType","EHDSMedication.item.packageType","","","",0,1,"","","","CodeableConcept {[]} {[]}
","Type of package of the medication item.","Type of package of the medication item.","","","","","","","","","",,"required","EDQM Standard Terms for packaging.","","",,,,"EHDSMedication.item.packageType",0,1,"",""
"EHDSMedication.device","EHDSMedication.device","","","",0,*,"","","","Base {[]} {[]}
","Administration device included in the product. Devices that are not inside the medication package are excluded.","Administration device included in the product. Devices that are not inside the medication package are excluded.","","","","","","","","","",,,,,"",,,,"EHDSMedication.device",0,*,"",""
"EHDSMedication.device.deviceQuantity","EHDSMedication.device.deviceQuantity","","","",1,1,"","","","Quantity {[]} {[]}
","Number of devices.","Number of devices.","","","","","","","","","",,,,,"",,,,"EHDSMedication.device.deviceQuantity",1,1,"",""
"EHDSMedication.device.device[x]","EHDSMedication.device.device[x]","","","",1,1,"","","","CodeableConcept {[]} {[]}
http://ehds.eu/fhir/models/StructureDefinition/EHDSDevice {[]} {[]}","Device coded.","Device coded.","","","","","","","","","",,"required","EDQM Standard Terms","","",,,,"EHDSMedication.device.device[x]",1,1,"",""
"EHDSMedication.characteristic","EHDSMedication.characteristic","","","",0,*,"","","","Base {[]} {[]}
","Additional features of the product (e.g. reimbursable, sugar-free, easy-open cap, score-lined). It is expected that implementers will define a valueset supporting their use cases.","Additional features of the product (e.g. reimbursable, sugar-free, easy-open cap, score-lined). It is expected that implementers will define a valueset supporting their use cases.","","","","","","","","","",,,,,"",,,,"EHDSMedication.characteristic",0,*,"",""
"EHDSMedication.characteristic.type","EHDSMedication.characteristic.type","","","",1,1,"","","","CodeableConcept {[]} {[]}
","A code expressing the type of characteristic.","A code expressing the type of characteristic.","","","","","","","","","",,"required","Not defined","","",,,,"EHDSMedication.characteristic.type",1,1,"",""
"EHDSMedication.characteristic.value[x]","EHDSMedication.characteristic.value[x]","","","",0,1,"","","","boolean {[]} {[]}
CodeableConcept {[]} {[]}string {[]} {[]}Quantity {[]} {[]}dateTime {[]} {[]}integer {[]} {[]}decimal {[]} {[]}Ratio {[]} {[]}","Description of the characteristic value.","Description of the characteristic value.","","","","","","","","","",,"required","UCUM for units of measure","","",,,,"EHDSMedication.characteristic.value[x]",0,1,"",""
"EHDSMedication.batch","EHDSMedication.batch","","","",0,1,"","","","Base {[]} {[]}
","Batch information of a medicinal product. Typically recorded during dispense or administration, rarely known or relevant for a prescription/request.","Batch information of a medicinal product. Typically recorded during dispense or administration, rarely known or relevant for a prescription/request.","","","","","","","","","",,,,,"",,,,"EHDSMedication.batch",0,1,"",""
"EHDSMedication.batch.lotNumber","EHDSMedication.batch.lotNumber","","","",0,1,"","","","string {[]} {[]}
","Batch identifier of the medicinal product.","Batch identifier of the medicinal product.","","","","","","","","","",,,,,"",,,,"EHDSMedication.batch.lotNumber",0,1,"",""
"EHDSMedication.batch.expirationDate","EHDSMedication.batch.expirationDate","","","",0,1,"","","","dateTime {[]} {[]}
","Batch expiration date of the medicinal product.","Batch expiration date of the medicinal product.","","","","","","","","","",,,,,"",,,,"EHDSMedication.batch.expirationDate",0,1,"",""
